Date and Time   ,Year,Period,Hour,dir,Wind speed,spd,A,h,B,H,H-h
2019-08-01 21:00,2019,0 to 24 h,7.25,111,0,0.00,60.2,15.7,67.8,19.9,4.2
2019-08-01 21:15,2019,0 to 24 h,7.5,111,0,0.00,60,15.6,68.1,20.1,4.5
2019-08-01 21:30,2019,0 to 24 h,7.75,111,0,0.00,59,15.0,66.3,19.1,4.1
2019-08-01 21:45,2019,0 to 24 h,8,111,0,0.00,58.7,14.8,65.9,18.8,4.0
2019-08-01 22:00,2019,0 to 24 h,8.25,111,0,0.00,57.9,14.4,64.6,18.1,3.7
2019-08-01 22:15,2019,0 to 24 h,8.5,111,0,0.00,58,14.4,64.4,18.0,3.6
2019-08-01 22:30,2019,0 to 24 h,8.75,111,0,0.00,57.6,14.2,62.3,16.8,2.6
2019-08-01 22:45,2019,0 to 24 h,9,111,0,0.00,56.6,13.7,61.3,16.3,2.6
2019-08-01 23:00,2019,0 to 24 h,9.25,111,0,0.00,56.5,13.6,61.8,16.6,2.9
2019-08-01 23:15,2019,0 to 24 h,9.5,111,0,0.00,56.4,13.6,61.5,16.4,2.8
2019-08-01 23:30,2019,0 to 24 h,9.75,111,0,0.00,56.4,13.6,61.6,16.4,2.9
2019-08-01 23:45,2019,0 to 24 h,10,111,0,0.00,56.1,13.4,62.3,16.8,3.4
2019-08-02 00:00,2019,0 to 24 h,10.25,111,0,0.00,56.2,13.4,61.2,16.2,2.8
2019-08-02 00:15,2019,0 to 24 h,10.5,111,0,0.00,55.6,13.1,61.8,16.6,3.4
2019-08-02 00:30,2019,0 to 24 h,10.75,111,0,0.00,55.3,12.9,61.5,16.4,3.4
2019-08-02 00:45,2019,0 to 24 h,11,111,0,0.00,55,12.8,61.8,16.6,3.8
2019-08-02 01:00,2019,0 to 24 h,11.25,111,0,0.00,55.1,12.8,60.8,16.0,3.2
2019-08-02 01:15,2019,0 to 24 h,11.5,111,0,0.00,54.8,12.7,58.5,14.7,2.1
2019-08-02 01:30,2019,0 to 24 h,11.75,111,0,0.00,54.4,12.4,58.2,14.6,2.1
2019-08-02 01:45,2019,0 to 24 h,12,111,0,0.00,54.3,12.4,58.8,14.9,2.5
2019-08-02 02:00,2019,0 to 24 h,12.25,111,0,0.00,54.2,12.3,58.7,14.8,2.5
2019-08-02 02:15,2019,0 to 24 h,12.5,111,0,0.00,53.9,12.2,57.8,14.3,2.2
2019-08-02 02:30,2019,0 to 24 h,12.75,111,0,0.00,53.5,11.9,57.4,14.1,2.2
2019-08-02 02:45,2019,0 to 24 h,13,111,0,0.00,53.5,11.9,57.7,14.3,2.3
2019-08-02 03:00,2019,0 to 24 h,13.25,111,0,0.00,53.2,11.8,56.6,13.7,1.9
2019-08-02 03:15,2019,0 to 24 h,13.5,111,0,0.00,53.1,11.7,57.8,14.3,2.6
2019-08-02 03:30,2019,0 to 24 h,13.75,111,0,0.00,53.4,11.9,57.8,14.3,2.4
2019-08-02 03:45,2019,0 to 24 h,14,111,0,0.00,52.8,11.6,56.2,13.4,1.9
2019-08-02 04:00,2019,0 to 24 h,14.25,111,0,0.00,53,11.7,57.1,13.9,2.3
2019-08-02 04:15,2019,0 to 24 h,14.5,111,0,0.00,52.7,11.5,56,13.3,1.8
2019-08-02 04:30,2019,0 to 24 h,14.75,111,0,0.00,52.2,11.2,55.6,13.1,1.9
